pair,construct_a,construct_b,n_contexts_measured,n_contexts_significant,retention_rate,mean_abs_gamma,median_abs_gamma,sign_consistency,majority_sign,n_countries,n_waves,first_wave,last_wave
wvs_agg_political_information_sources|WVS_E::wvs_agg_science_skepticism|WVS_I,political_information_sources,science_skepticism,112,79,0.705,0.035,0.0292,0.892,-1,79,2,6,7
wvs_agg_online_political_participation|WVS_E::wvs_agg_religious_practice_and_self_identification|WVS_F,online_political_participation,religious_practice_and_self_identification,64,45,0.703,0.053,0.0471,0.719,1,64,1,7,7
wvs_agg_life_autonomy_morality_permissiveness|WVS_F::wvs_agg_political_information_sources|WVS_E,life_autonomy_morality_permissiveness,political_information_sources,110,77,0.7,0.0372,0.0331,0.836,1,79,2,6,7
wvs_agg_online_political_participation|WVS_E::wvs_agg_social_intolerance_outgroups|WVS_A,online_political_participation,social_intolerance_outgroups,50,35,0.7,0.0666,0.0448,0.88,1,50,1,7,7
wvs_agg_sexual_and_reproductive_morality_permissiveness|WVS_F::wvs_agg_work_ethic|WVS_C,sexual_and_reproductive_morality_permissiveness,work_ethic,108,75,0.694,0.0433,0.0376,0.916,1,79,3,4,7
wvs_agg_life_autonomy_morality_permissiveness|WVS_F::wvs_agg_work_ethic|WVS_C,life_autonomy_morality_permissiveness,work_ethic,120,83,0.692,0.0335,0.0227,0.881,1,86,3,4,7
wvs_agg_sexual_and_reproductive_morality_permissiveness|WVS_F::wvs_agg_social_intolerance_outgroups|WVS_A,sexual_and_reproductive_morality_permissiveness,social_intolerance_outgroups,159,109,0.686,0.0496,0.0309,0.591,-1,87,6,2,7
wvs_agg_offline_political_participation|WVS_E::wvs_agg_voluntary_association_active_membership|WVS_A,offline_political_participation,voluntary_association_active_membership,82,56,0.683,0.0345,0.0273,0.938,1,55,4,3,7
wvs_agg_basic_needs_deprivation|WVS_H::wvs_agg_online_political_participation|WVS_E,basic_needs_deprivation,online_political_participation,44,30,0.682,0.0513,0.0456,0.841,-1,44,1,7,7
wvs_agg_political_information_sources|WVS_E::wvs_agg_religious_practice_and_self_identification|WVS_F,political_information_sources,religious_practice_and_self_identification,113,77,0.681,0.0468,0.0337,0.761,1,80,2,6,7
wvs_agg_sexual_and_reproductive_morality_permissiveness|WVS_F::wvs_agg_voting_participation|WVS_E,sexual_and_reproductive_morality_permissiveness,voting_participation,78,53,0.679,0.0512,0.04,0.859,1,64,2,6,7
wvs_agg_child_qualities_autonomy_self_expression|WVS_A::wvs_agg_online_political_participation|WVS_E,child_qualities_autonomy_self_expression,online_political_participation,64,43,0.672,0.0497,0.0334,0.952,1,64,1,7,7
wvs_agg_gender_role_traditionalism|WVS_D::wvs_agg_work_ethic|WVS_C,gender_role_traditionalism,work_ethic,122,82,0.672,0.0397,0.0304,0.861,1,86,3,4,7
wvs_agg_job_scarcity_gender_discrimination|WVS_C::wvs_agg_perceived_corruption|WVS_E,job_scarcity_gender_discrimination,perceived_corruption,15,10,0.667,0.0369,0.0373,0.733,-1,15,1,7,7
wvs_agg_job_scarcity_gender_discrimination|WVS_C::wvs_agg_online_political_participation|WVS_E,job_scarcity_gender_discrimination,online_political_participation,60,40,0.667,0.0702,0.0441,0.75,1,60,1,7,7
wvs_agg_offline_political_participation|WVS_E::wvs_agg_religious_exclusivism|WVS_F,offline_political_participation,religious_exclusivism,78,52,0.667,0.042,0.0322,0.795,1,59,2,6,7
wvs_agg_female_income_threat_to_marriage|WVS_D::wvs_agg_online_political_participation|WVS_E,female_income_threat_to_marriage,online_political_participation,60,40,0.667,0.0544,0.0393,0.8,1,60,1,7,7
wvs_agg_female_income_threat_to_marriage|WVS_D::wvs_agg_political_information_sources|WVS_E,female_income_threat_to_marriage,political_information_sources,109,71,0.651,0.0317,0.0272,0.743,1,79,2,6,7
wvs_agg_child_qualities_autonomy_self_expression|WVS_A::wvs_agg_life_autonomy_morality_permissiveness|WVS_F,child_qualities_autonomy_self_expression,life_autonomy_morality_permissiveness,217,141,0.65,0.0342,0.0238,0.885,1,100,6,2,7
wvs_agg_child_qualities_autonomy_self_expression|WVS_A::wvs_agg_work_ethic|WVS_C,child_qualities_autonomy_self_expression,work_ethic,123,80,0.65,0.0333,0.0245,0.762,1,86,3,4,7
wvs_agg_electoral_integrity|WVS_E::wvs_agg_work_ethic|WVS_C,electoral_integrity,work_ethic,65,42,0.646,0.0205,0.0142,0.677,-1,65,1,7,7
wvs_agg_gender_role_traditionalism|WVS_D::wvs_agg_political_information_sources|WVS_E,gender_role_traditionalism,political_information_sources,113,73,0.646,0.0406,0.0313,0.788,1,80,2,6,7
wvs_agg_existential_threat_worry|WVS_H::wvs_agg_online_political_participation|WVS_E,existential_threat_worry,online_political_participation,59,38,0.644,0.0434,0.0394,0.678,1,59,1,7,7
wvs_agg_political_information_sources|WVS_E::wvs_agg_voluntary_association_active_membership|WVS_A,political_information_sources,voluntary_association_active_membership,56,36,0.643,0.0359,0.0292,0.893,1,46,2,6,7
wvs_agg_online_political_participation|WVS_E::wvs_agg_work_ethic|WVS_C,online_political_participation,work_ethic,64,41,0.641,0.0504,0.0358,0.797,1,64,1,7,7
wvs_agg_offline_political_participation|WVS_E::wvs_agg_outgroup_trust|WVS_G,offline_political_participation,outgroup_trust,125,80,0.64,0.0328,0.0253,0.896,1,79,3,5,7
wvs_agg_life_autonomy_morality_permissiveness|WVS_F::wvs_agg_offline_political_participation|WVS_E,life_autonomy_morality_permissiveness,offline_political_participation,189,120,0.635,0.0396,0.031,0.825,1,89,6,2,7
wvs_agg_science_skepticism|WVS_I::wvs_agg_sexual_and_reproductive_morality_permissiveness|WVS_F,science_skepticism,sexual_and_reproductive_morality_permissiveness,96,61,0.635,0.0328,0.0264,0.811,-1,70,2,6,7
wvs_agg_job_scarcity_gender_discrimination|WVS_C::wvs_agg_political_information_sources|WVS_E,job_scarcity_gender_discrimination,political_information_sources,109,69,0.633,0.0415,0.03,0.75,1,79,2,6,7
wvs_agg_outgroup_trust|WVS_G::wvs_agg_voluntary_association_belonging|WVS_A,outgroup_trust,voluntary_association_belonging,49,31,0.633,0.0254,0.0183,0.878,1,49,1,7,7
wvs_agg_life_autonomy_morality_permissiveness|WVS_F::wvs_agg_social_intolerance_outgroups|WVS_A,life_autonomy_morality_permissiveness,social_intolerance_outgroups,180,113,0.628,0.0379,0.0217,0.633,-1,93,6,2,7
wvs_agg_religious_exclusivism|WVS_F::wvs_agg_work_ethic|WVS_C,religious_exclusivism,work_ethic,59,37,0.627,0.03,0.0187,0.864,1,59,1,7,7
wvs_agg_gender_role_traditionalism|WVS_D::wvs_agg_online_political_participation|WVS_E,gender_role_traditionalism,online_political_participation,64,40,0.625,0.0537,0.0415,0.781,1,64,1,7,7
wvs_agg_socioeconomic_insecurity_worry|WVS_H::wvs_agg_voting_participation|WVS_E,socioeconomic_insecurity_worry,voting_participation,85,53,0.624,0.0601,0.0471,0.788,-1,66,2,6,7
wvs_agg_child_qualities_conformity_tradition|WVS_A::wvs_agg_religious_practice_and_self_identification|WVS_F,child_qualities_conformity_tradition,religious_practice_and_self_identification,216,134,0.62,0.0287,0.0219,0.806,-1,100,6,2,7
wvs_agg_gender_role_traditionalism|WVS_D::wvs_agg_social_intolerance_outgroups|WVS_A,gender_role_traditionalism,social_intolerance_outgroups,184,114,0.62,0.042,0.0272,0.679,-1,92,6,2,7
wvs_agg_online_political_participation|WVS_E::wvs_agg_perceived_negative_effects_of_immigration|WVS_G,online_political_participation,perceived_negative_effects_of_immigration,63,39,0.619,0.0435,0.0297,0.698,-1,63,1,7,7
wvs_agg_basic_needs_deprivation|WVS_H::wvs_agg_religious_exclusivism|WVS_F,basic_needs_deprivation,religious_exclusivism,68,42,0.618,0.0306,0.0241,0.853,-1,52,2,6,7
wvs_agg_gender_role_traditionalism|WVS_D::wvs_agg_life_autonomy_morality_permissiveness|WVS_F,gender_role_traditionalism,life_autonomy_morality_permissiveness,214,132,0.617,0.035,0.0251,0.832,1,99,6,2,7
wvs_agg_job_scarcity_gender_discrimination|WVS_C::wvs_agg_sexual_and_reproductive_morality_permissiveness|WVS_F,job_scarcity_gender_discrimination,sexual_and_reproductive_morality_permissiveness,190,117,0.616,0.0432,0.0307,0.832,1,94,6,2,7
wvs_agg_child_qualities_conformity_tradition|WVS_A::wvs_agg_religious_belief|WVS_F,child_qualities_conformity_tradition,religious_belief,178,109,0.612,0.0281,0.0212,0.864,1,83,6,2,7
wvs_agg_religious_belief|WVS_F::wvs_agg_voting_participation|WVS_E,religious_belief,voting_participation,72,44,0.611,0.0369,0.0301,0.736,-1,58,2,6,7
wvs_agg_religious_exclusivism|WVS_F::wvs_agg_science_skepticism|WVS_I,religious_exclusivism,science_skepticism,100,61,0.61,0.0313,0.0224,0.84,-1,70,2,6,7
wvs_agg_political_information_sources|WVS_E::wvs_agg_religious_belief|WVS_F,political_information_sources,religious_belief,92,56,0.609,0.0287,0.0213,0.703,-1,66,2,6,7
wvs_agg_civic_dishonesty_tolerance|WVS_F::wvs_agg_voting_participation|WVS_E,civic_dishonesty_tolerance,voting_participation,87,53,0.609,0.0511,0.0379,0.943,1,69,2,6,7
wvs_agg_voting_participation|WVS_E::wvs_agg_work_ethic|WVS_C,voting_participation,work_ethic,46,28,0.609,0.0371,0.027,0.761,1,46,1,7,7
wvs_agg_offline_political_participation|WVS_E::wvs_agg_work_ethic|WVS_C,offline_political_participation,work_ethic,99,60,0.606,0.0329,0.0272,0.667,1,71,3,4,7
wvs_agg_gender_role_traditionalism|WVS_D::wvs_agg_religious_exclusivism|WVS_F,gender_role_traditionalism,religious_exclusivism,101,61,0.604,0.0356,0.0253,0.832,1,71,2,6,7
wvs_agg_basic_needs_deprivation|WVS_H::wvs_agg_subjective_wellbeing|WVS_A,basic_needs_deprivation,subjective_wellbeing,78,47,0.603,0.0207,0.0188,0.833,-1,60,2,6,7
wvs_agg_religious_exclusivism|WVS_F::wvs_agg_social_intolerance_outgroups|WVS_A,religious_exclusivism,social_intolerance_outgroups,78,47,0.603,0.0378,0.0202,0.538,1,55,2,6,7
wvs_agg_importance_of_life_domains|WVS_A::wvs_agg_political_information_sources|WVS_E,importance_of_life_domains,political_information_sources,113,68,0.602,0.0284,0.0226,0.679,1,80,2,6,7
wvs_agg_perceived_negative_effects_of_immigration|WVS_G::wvs_agg_political_information_sources|WVS_E,perceived_negative_effects_of_immigration,political_information_sources,65,39,0.6,0.0287,0.0206,0.692,-1,65,1,7,7
wvs_agg_perceived_corruption|WVS_E::wvs_agg_perceived_negative_effects_of_immigration|WVS_G,perceived_corruption,perceived_negative_effects_of_immigration,15,9,0.6,0.0219,0.0116,0.533,1,15,1,7,7
wvs_agg_religious_practice_and_self_identification|WVS_F::wvs_agg_socioeconomic_insecurity_worry|WVS_H,religious_practice_and_self_identification,socioeconomic_insecurity_worry,105,63,0.6,0.0401,0.0271,0.743,-1,76,2,6,7
wvs_agg_life_autonomy_morality_permissiveness|WVS_F::wvs_agg_science_skepticism|WVS_I,life_autonomy_morality_permissiveness,science_skepticism,109,65,0.596,0.0236,0.0165,0.734,-1,78,2,6,7
wvs_agg_civic_dishonesty_tolerance|WVS_F::wvs_agg_socioeconomic_insecurity_worry|WVS_H,civic_dishonesty_tolerance,socioeconomic_insecurity_worry,99,59,0.596,0.044,0.0237,0.778,-1,73,2,6,7
wvs_agg_female_income_threat_to_marriage|WVS_D::wvs_agg_religious_practice_and_self_identification|WVS_F,female_income_threat_to_marriage,religious_practice_and_self_identification,109,65,0.596,0.0305,0.0203,0.706,1,79,2,6,7
wvs_agg_multilevel_place_attachment|WVS_G::wvs_agg_voting_participation|WVS_E,multilevel_place_attachment,voting_participation,42,25,0.595,0.036,0.025,0.81,-1,42,1,7,7
wvs_agg_political_information_sources|WVS_E::wvs_agg_work_ethic|WVS_C,political_information_sources,work_ethic,66,39,0.591,0.0334,0.02,0.818,1,66,1,7,7
wvs_agg_female_income_threat_to_marriage|WVS_D::wvs_agg_sexual_and_reproductive_morality_permissiveness|WVS_F,female_income_threat_to_marriage,sexual_and_reproductive_morality_permissiveness,93,55,0.591,0.0352,0.022,0.772,1,70,2,6,7
wvs_agg_basic_needs_deprivation|WVS_H::wvs_agg_offline_political_participation|WVS_E,basic_needs_deprivation,offline_political_participation,61,36,0.59,0.0311,0.0259,0.787,-1,49,2,6,7
wvs_agg_job_scarcity_gender_discrimination|WVS_C::wvs_agg_precautionary_security_behaviors|WVS_H,job_scarcity_gender_discrimination,precautionary_security_behaviors,106,62,0.585,0.0266,0.024,0.67,1,77,2,6,7
wvs_agg_perceived_corruption|WVS_E::wvs_agg_social_intolerance_outgroups|WVS_A,perceived_corruption,social_intolerance_outgroups,12,7,0.583,0.0308,0.0268,0.667,-1,12,1,7,7
wvs_agg_social_intolerance_outgroups|WVS_A::wvs_agg_voting_participation|WVS_E,social_intolerance_outgroups,voting_participation,72,42,0.583,0.0382,0.0235,0.528,1,55,2,6,7
wvs_agg_outgroup_trust|WVS_G::wvs_agg_voluntary_association_active_membership|WVS_A,outgroup_trust,voluntary_association_active_membership,72,42,0.583,0.0215,0.0154,0.833,1,52,3,5,7
wvs_agg_perceived_negative_effects_of_immigration|WVS_G::wvs_agg_sexual_and_reproductive_morality_permissiveness|WVS_F,perceived_negative_effects_of_immigration,sexual_and_reproductive_morality_permissiveness,57,33,0.579,0.0278,0.0206,0.737,-1,57,1,7,7
wvs_agg_importance_of_life_domains|WVS_A::wvs_agg_online_political_participation|WVS_E,importance_of_life_domains,online_political_participation,64,37,0.578,0.032,0.0266,0.672,1,64,1,7,7
wvs_agg_female_income_threat_to_marriage|WVS_D::wvs_agg_job_scarcity_gender_discrimination|WVS_C,female_income_threat_to_marriage,job_scarcity_gender_discrimination,109,63,0.578,0.0379,0.0207,0.872,1,79,2,6,7
wvs_agg_confidence_in_domestic_institutions|WVS_E::wvs_agg_sexual_and_reproductive_morality_permissiveness|WVS_F,confidence_in_domestic_institutions,sexual_and_reproductive_morality_permissiveness,194,112,0.577,0.0264,0.0174,0.716,1,94,6,2,7
wvs_agg_institutional_threat_perception|WVS_H::wvs_agg_sexual_and_reproductive_morality_permissiveness|WVS_F,institutional_threat_perception,sexual_and_reproductive_morality_permissiveness,71,41,0.577,0.0291,0.0232,0.845,-1,54,2,6,7
wvs_agg_offline_political_participation|WVS_E::wvs_agg_science_skepticism|WVS_I,offline_political_participation,science_skepticism,85,49,0.576,0.0318,0.0236,0.857,-1,64,2,6,7
wvs_agg_sexual_and_reproductive_morality_permissiveness|WVS_F::wvs_agg_socioeconomic_insecurity_worry|WVS_H,sexual_and_reproductive_morality_permissiveness,socioeconomic_insecurity_worry,92,53,0.576,0.0386,0.0264,0.728,-1,68,2,6,7
wvs_agg_online_political_participation|WVS_E::wvs_agg_precautionary_security_behaviors|WVS_H,online_political_participation,precautionary_security_behaviors,61,35,0.574,0.037,0.0332,0.59,-1,61,1,7,7
wvs_agg_offline_political_participation|WVS_E::wvs_agg_social_intolerance_outgroups|WVS_A,offline_political_participation,social_intolerance_outgroups,156,89,0.571,0.0404,0.0268,0.737,-1,84,6,2,7
wvs_agg_online_political_participation|WVS_E::wvs_agg_religious_belief|WVS_F,online_political_participation,religious_belief,56,32,0.571,0.0403,0.0322,0.786,-1,56,1,7,7
wvs_agg_basic_needs_deprivation|WVS_H::wvs_agg_voluntary_association_belonging|WVS_A,basic_needs_deprivation,voluntary_association_belonging,35,20,0.571,0.0244,0.0189,0.743,-1,35,1,7,7
wvs_agg_confidence_in_domestic_institutions|WVS_E::wvs_agg_social_intolerance_outgroups|WVS_A,confidence_in_domestic_institutions,social_intolerance_outgroups,185,105,0.568,0.0225,0.017,0.589,-1,93,6,2,7
wvs_agg_child_qualities_autonomy_self_expression|WVS_A::wvs_agg_political_information_sources|WVS_E,child_qualities_autonomy_self_expression,political_information_sources,113,64,0.566,0.0319,0.024,0.885,1,80,2,6,7
wvs_agg_job_scarcity_gender_discrimination|WVS_C::wvs_agg_life_autonomy_morality_permissiveness|WVS_F,job_scarcity_gender_discrimination,life_autonomy_morality_permissiveness,212,120,0.566,0.034,0.024,0.768,1,100,6,2,7
wvs_agg_political_information_sources|WVS_E::wvs_agg_subjective_wellbeing|WVS_A,political_information_sources,subjective_wellbeing,113,64,0.566,0.0298,0.0222,0.814,1,80,2,6,7
wvs_agg_social_intolerance_outgroups|WVS_A::wvs_agg_work_ethic|WVS_C,social_intolerance_outgroups,work_ethic,99,56,0.566,0.0342,0.0207,0.515,-1,75,3,4,7
wvs_agg_female_income_threat_to_marriage|WVS_D::wvs_agg_work_ethic|WVS_C,female_income_threat_to_marriage,work_ethic,62,35,0.565,0.0265,0.0169,0.823,1,62,1,7,7
wvs_agg_child_qualities_autonomy_self_expression|WVS_A::wvs_agg_religious_exclusivism|WVS_F,child_qualities_autonomy_self_expression,religious_exclusivism,101,57,0.564,0.0269,0.0208,0.832,1,71,2,6,7
wvs_agg_offline_political_participation|WVS_E::wvs_agg_sexual_and_reproductive_morality_permissiveness|WVS_F,offline_political_participation,sexual_and_reproductive_morality_permissiveness,172,97,0.564,0.0445,0.0326,0.808,1,84,6,2,7
wvs_agg_online_political_participation|WVS_E::wvs_agg_subjective_wellbeing|WVS_A,online_political_participation,subjective_wellbeing,64,36,0.562,0.0345,0.0274,0.75,1,64,1,7,7
wvs_agg_familial_duty_obligations|WVS_D::wvs_agg_work_ethic|WVS_C,familial_duty_obligations,work_ethic,66,37,0.561,0.0222,0.0168,0.818,1,66,1,7,7
wvs_agg_perceived_negative_effects_of_immigration|WVS_G::wvs_agg_religious_exclusivism|WVS_F,perceived_negative_effects_of_immigration,religious_exclusivism,59,33,0.559,0.0251,0.0153,0.78,-1,59,1,7,7
wvs_agg_basic_needs_deprivation|WVS_H::wvs_agg_multilevel_place_attachment|WVS_G,basic_needs_deprivation,multilevel_place_attachment,43,24,0.558,0.0216,0.0178,0.651,-1,43,1,7,7
wvs_agg_socioeconomic_insecurity_worry|WVS_H::wvs_agg_work_ethic|WVS_C,socioeconomic_insecurity_worry,work_ethic,63,35,0.556,0.0301,0.0169,0.714,-1,63,1,7,7
wvs_agg_acceptance_of_state_surveillance|WVS_H::wvs_agg_voting_participation|WVS_E,acceptance_of_state_surveillance,voting_participation,45,25,0.556,0.031,0.0238,0.711,-1,45,1,7,7
wvs_agg_offline_political_participation|WVS_E::wvs_agg_religious_belief|WVS_F,offline_political_participation,religious_belief,157,87,0.554,0.0354,0.0236,0.796,-1,73,6,2,7
wvs_agg_confidence_in_domestic_institutions|WVS_E::wvs_agg_religious_belief|WVS_F,confidence_in_domestic_institutions,religious_belief,177,98,0.554,0.0209,0.015,0.739,-1,83,6,2,7
wvs_agg_child_qualities_autonomy_self_expression|WVS_A::wvs_agg_gender_role_traditionalism|WVS_D,child_qualities_autonomy_self_expression,gender_role_traditionalism,222,123,0.554,0.0396,0.0246,0.815,1,99,6,2,7
wvs_agg_neighborhood_disorder_and_crime|WVS_H::wvs_agg_work_ethic|WVS_C,neighborhood_disorder_and_crime,work_ethic,65,36,0.554,0.0223,0.0158,0.708,-1,65,1,7,7
wvs_agg_societal_change_attitudes|WVS_E::wvs_agg_work_ethic|WVS_C,societal_change_attitudes,work_ethic,123,68,0.553,0.0263,0.017,0.764,-1,86,3,4,7
wvs_agg_offline_political_participation|WVS_E::wvs_agg_subjective_wellbeing|WVS_A,offline_political_participation,subjective_wellbeing,194,107,0.552,0.0298,0.0241,0.845,1,91,6,2,7
wvs_agg_democratic_system_evaluation|WVS_E::wvs_agg_voluntary_association_belonging|WVS_A,democratic_system_evaluation,voluntary_association_belonging,58,32,0.552,0.0295,0.0174,0.845,1,52,2,4,7
wvs_agg_neighborhood_disorder_and_crime|WVS_H::wvs_agg_voting_participation|WVS_E,neighborhood_disorder_and_crime,voting_participation,89,49,0.551,0.0379,0.0279,0.787,-1,69,2,6,7
wvs_agg_offline_political_participation|WVS_E::wvs_agg_perceived_negative_effects_of_immigration|WVS_G,offline_political_participation,perceived_negative_effects_of_immigration,42,23,0.548,0.0298,0.0166,0.619,-1,42,1,7,7
wvs_agg_religious_belief|WVS_F::wvs_agg_socioeconomic_insecurity_worry|WVS_H,religious_belief,socioeconomic_insecurity_worry,86,47,0.547,0.0308,0.02,0.709,1,62,2,6,7
wvs_agg_online_political_participation|WVS_E::wvs_agg_outgroup_trust|WVS_G,online_political_participation,outgroup_trust,64,35,0.547,0.0342,0.0256,0.859,1,64,1,7,7
wvs_agg_authoritarian_governance_tolerance|WVS_E::wvs_agg_religious_exclusivism|WVS_F,authoritarian_governance_tolerance,religious_exclusivism,94,51,0.543,0.0237,0.016,0.839,-1,67,2,6,7
wvs_agg_international_organization_knowledge|WVS_E::wvs_agg_voluntary_association_active_membership|WVS_A,international_organization_knowledge,voluntary_association_active_membership,35,19,0.543,0.0299,0.0213,0.829,1,35,1,7,7
wvs_agg_civic_dishonesty_tolerance|WVS_F::wvs_agg_institutional_threat_perception|WVS_H,civic_dishonesty_tolerance,institutional_threat_perception,78,42,0.538,0.0318,0.0186,0.795,-1,58,2,6,7
wvs_agg_religious_practice_and_self_identification|WVS_F::wvs_agg_work_ethic|WVS_C,religious_practice_and_self_identification,work_ethic,119,64,0.538,0.0274,0.0188,0.737,1,84,3,4,7
wvs_agg_perceived_corruption|WVS_E::wvs_agg_sexual_and_reproductive_morality_permissiveness|WVS_F,perceived_corruption,sexual_and_reproductive_morality_permissiveness,13,7,0.538,0.025,0.0154,0.769,-1,13,1,7,7
wvs_agg_job_scarcity_gender_discrimination|WVS_C::wvs_agg_religious_practice_and_self_identification|WVS_F,job_scarcity_gender_discrimination,religious_practice_and_self_identification,210,113,0.538,0.0379,0.0239,0.671,1,100,6,2,7
wvs_agg_basic_needs_deprivation|WVS_H::wvs_agg_outgroup_trust|WVS_G,basic_needs_deprivation,outgroup_trust,78,42,0.538,0.0205,0.0131,0.727,-1,60,2,6,7
wvs_agg_institutional_threat_perception|WVS_H::wvs_agg_voting_participation|WVS_E,institutional_threat_perception,voting_participation,65,35,0.538,0.0406,0.0265,0.8,-1,51,2,6,7
wvs_agg_science_skepticism|WVS_I::wvs_agg_voluntary_association_active_membership|WVS_A,science_skepticism,voluntary_association_active_membership,56,30,0.536,0.0191,0.0142,0.818,-1,46,2,6,7
wvs_agg_confidence_in_domestic_institutions|WVS_E::wvs_agg_religious_exclusivism|WVS_F,confidence_in_domestic_institutions,religious_exclusivism,101,54,0.535,0.0196,0.0159,0.683,1,71,2,6,7
wvs_agg_job_scarcity_nativist_preference|WVS_C::wvs_agg_perceived_corruption|WVS_E,job_scarcity_nativist_preference,perceived_corruption,15,8,0.533,0.023,0.0138,0.6,-1,15,1,7,7
wvs_agg_gender_role_traditionalism|WVS_D::wvs_agg_perceived_corruption|WVS_E,gender_role_traditionalism,perceived_corruption,15,8,0.533,0.0347,0.0205,0.8,-1,15,1,7,7
wvs_agg_female_income_threat_to_marriage|WVS_D::wvs_agg_perceived_corruption|WVS_E,female_income_threat_to_marriage,perceived_corruption,15,8,0.533,0.0206,0.0131,0.667,-1,15,1,7,7
wvs_agg_child_qualities_conformity_tradition|WVS_A::wvs_agg_sexual_and_reproductive_morality_permissiveness|WVS_F,child_qualities_conformity_tradition,sexual_and_reproductive_morality_permissiveness,195,104,0.533,0.0299,0.0211,0.851,-1,94,6,2,7
wvs_agg_life_autonomy_morality_permissiveness|WVS_F::wvs_agg_perceived_corruption|WVS_E,life_autonomy_morality_permissiveness,perceived_corruption,15,8,0.533,0.0217,0.0109,0.733,-1,15,1,7,7
wvs_agg_international_organization_knowledge|WVS_E::wvs_agg_voluntary_association_belonging|WVS_A,international_organization_knowledge,voluntary_association_belonging,47,25,0.532,0.0261,0.0173,0.745,1,47,1,7,7
wvs_agg_neighborhood_disorder_and_crime|WVS_H::wvs_agg_sexual_and_reproductive_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime,sexual_and_reproductive_morality_permissiveness,94,50,0.532,0.0277,0.0226,0.86,-1,70,2,6,7
wvs_agg_freedom_security_tradeoff_perception|WVS_H::wvs_agg_online_political_participation|WVS_E,freedom_security_tradeoff_perception,online_political_participation,64,34,0.531,0.0355,0.026,0.672,-1,64,1,7,7
wvs_agg_familial_duty_obligations|WVS_D::wvs_agg_online_political_participation|WVS_E,familial_duty_obligations,online_political_participation,64,34,0.531,0.0351,0.0284,0.719,1,64,1,7,7
